,City,Lat,Lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,Ushuaia,-54.8,-68.3,37.4,69,20,18.34,AR,1593212595
1,Puerto Ayora,-0.74,-90.35,72.0,87,69,3.0,EC,1593212595
2,George Town,5.41,100.34,80.6,94,20,3.36,MY,1593212595
3,Río Gallegos,-51.62,-69.22,26.6,92,0,9.17,AR,1593212595
4,Bluff,-46.6,168.33,39.0,83,88,3.0,NZ,1593212595
5,Fendou,46.65,124.87,65.14,86,100,3.49,CN,1593212595
6,Nuuk,64.18,-51.72,41.0,80,20,10.29,GL,1593212452
7,Mataura,-46.19,168.86,39.0,83,96,3.0,NZ,1593212595
8,College,64.86,-147.8,64.4,55,75,3.36,US,1593212438
9,Sri Aman,1.24,111.46,73.4,100,100,3.36,MY,1593212595
10,Albany,42.6,-73.97,80.01,59,43,5.53,US,1593212596
11,Mitsamiouli,-11.38,43.28,77.43,73,0,5.95,KM,1593212596
12,Hilo,19.73,-155.09,84.2,62,1,8.05,US,1593212596
13,Kaeo,-35.1,173.78,63.0,3,4,7.0,NZ,1593212596
14,Saint Paul Harbor,57.79,-152.41,60.8,48,90,10.29,US,1593212596
15,Olinda,-8.01,-34.86,77.0,78,40,5.82,BR,1593212596
16,Rikitea,-23.12,-134.97,74.07,81,84,13.53,PF,1593212596
17,Robertsport,6.75,-11.37,77.95,87,100,14.18,LR,1593212596
18,Dunedin,-45.87,170.5,57.0,71,81,1.01,NZ,1593212507
19,Lola,7.8,-8.53,71.2,97,47,3.94,GN,1593212596
20,Rocha,-34.48,-54.33,42.84,72,78,6.04,UY,1593212597
21,Road Town,18.42,-64.62,84.0,82,76,21.0,VG,1593212597
22,Hanmer Springs,-42.52,172.82,50.58,70,42,1.77,NZ,1593212597
23,Jamestown,42.1,-79.24,75.99,41,1,14.99,US,1593212597
24,Yellowknife,62.46,-114.35,66.99,52,75,9.17,CA,1593212462
25,Yaan,7.38,8.57,73.27,93,98,3.87,NG,1593212597
26,East London,-33.02,27.91,60.1,65,9,8.28,ZA,1593212597
27,Tiksi,71.69,128.87,61.05,48,68,8.1,RU,1593212597
28,Busselton,-33.65,115.33,55.99,93,14,13.15,AU,1593212598
29,Kapaa,22.08,-159.32,84.2,66,75,12.75,US,1593212598
30,Arraial do Cabo,-22.97,-42.03,72.25,89,49,5.95,BR,1593212598
31,Kruisfontein,-34.0,24.73,49.05,79,0,5.86,ZA,1593212598
32,Qarqīn,37.42,66.04,80.96,24,0,23.24,AF,1593212598
33,Sitka,57.05,-135.33,53.6,93,90,9.17,US,1593212598
34,Castro,-24.79,-50.01,56.19,97,100,10.13,BR,1593212598
35,Uruçuí,-7.23,-44.56,79.36,50,3,4.63,BR,1593212598
36,Fortuna,40.6,-124.16,66.0,72,20,13.87,US,1593212598
37,La Ronge,55.1,-105.28,71.6,40,75,11.41,CA,1593212598
38,Okhotsk,59.38,143.3,49.12,87,100,1.59,RU,1593212599
39,Tuatapere,-46.13,167.68,39.0,83,95,3.0,NZ,1593212599
40,Ponta do Sol,32.67,-17.1,69.8,68,40,8.05,PT,1593212599
41,Airai,-8.93,125.41,57.72,87,62,3.85,TL,1593212599
42,Anadyr,64.75,177.48,44.6,56,75,26.84,RU,1593212599
43,Vaini,-21.2,-175.2,78.8,74,40,9.17,TO,1593212599
44,Atuona,-9.8,-139.03,80.46,73,0,12.97,PF,1593212599
45,Sidrolândia,-20.93,-54.96,68.0,94,75,5.82,BR,1593212485
46,Cabo San Lucas,22.89,-109.91,93.2,48,5,8.05,MX,1593212409
47,Thompson,55.74,-97.86,77.0,38,75,5.82,CA,1593212546
48,Tuktoyaktuk,69.45,-133.04,37.4,93,90,11.41,CA,1593212600
49,Otane,-39.88,176.63,55.0,94,100,4.0,NZ,1593212600
50,Cidreira,-30.18,-50.21,51.33,61,100,6.4,BR,1593212600
51,Asbury Park,40.22,-74.01,82.99,42,40,10.29,US,1593212600
52,Lavrentiya,65.58,-171.0,43.38,91,100,32.66,RU,1593212600
53,Longyearbyen,78.22,15.64,46.4,70,40,12.75,SJ,1593212584
54,Laas,46.62,10.7,57.2,93,75,3.36,IT,1593212600
55,Saiha,22.48,92.97,69.89,93,99,1.81,IN,1593212601
56,Butaritari,3.07,172.79,83.71,75,93,11.54,KI,1593212601
57,Bagdarin,54.43,113.6,62.6,59,69,1.81,RU,1593212601
58,Ribeira Grande,38.52,-28.7,66.99,93,27,8.08,PT,1593212601
59,Yeppoon,-23.13,150.73,59.0,72,4,5.82,AU,1593212601
60,Kavieng,-2.57,150.8,83.25,71,32,2.98,PG,1593212601
61,Ondjiva,-17.07,15.73,52.18,42,0,4.18,AO,1593212601
62,Omaruru,-21.43,15.93,44.38,58,0,3.89,NA,1593212601
63,Miyako,39.64,141.95,71.78,76,85,4.9,JP,1593212601
64,Praia da Vitória,38.73,-27.07,71.6,68,75,9.19,PT,1593212601
65,Hīt,33.64,42.83,86.11,15,0,9.26,IQ,1593212602
66,Nanortalik,60.14,-45.24,40.78,89,61,4.09,GL,1593212602
67,Comodoro Rivadavia,-45.87,-67.5,37.4,69,75,6.93,AR,1593212473
68,Bathsheba,13.22,-59.52,84.2,74,40,21.92,BB,1593212602
69,Pitsunda,43.16,40.34,69.8,88,20,7.18,GE,1593212602
70,Punta Arenas,-53.15,-70.92,32.0,86,0,8.05,CL,1593212602
71,Mumford,5.26,-0.76,77.83,87,71,13.0,GH,1593212602
72,São Filipe,14.9,-24.5,73.96,81,81,2.89,CV,1593212602
73,Kirakira,-10.45,161.92,83.98,73,57,10.63,SB,1593212602
74,Payakumbuh,-0.22,100.63,70.09,86,100,0.87,ID,1593212603
75,Motala,58.54,15.04,69.8,73,15,3.36,SE,1593212603
76,Kitob,39.08,66.83,72.77,32,85,5.93,UZ,1593212603
77,Atar,20.52,-13.05,99.73,16,61,4.81,MR,1593212603
78,Khatanga,71.97,102.5,61.88,58,70,10.0,RU,1593212603
79,Mahébourg,-20.41,57.7,71.6,88,75,11.41,MU,1593212603
80,Iqaluit,63.75,-68.51,50.0,66,40,3.36,CA,1593212603
81,North Bend,43.41,-124.22,81.0,72,1,21.92,US,1593212603
82,Faanui,-16.48,-151.75,78.31,73,9,12.26,PF,1593212604
83,Coruripe,-10.13,-36.18,73.89,82,59,8.57,BR,1593212604
84,Haines Junction,60.75,-137.51,62.4,31,100,4.99,CA,1593212604
85,Lincoln,40.8,-96.67,90.0,55,75,6.26,US,1593212604
86,Hithadhoo,-0.6,73.08,84.49,72,93,7.56,MV,1593212604
87,Wakkanai,45.41,141.67,55.26,96,100,23.64,JP,1593212604
88,Bako,5.78,36.57,62.73,82,12,3.96,ET,1593212604
89,Bengkulu,-3.8,102.27,75.92,83,100,4.41,ID,1593212604
90,Barrow,71.29,-156.79,41.0,86,90,6.93,US,1593212402
91,Karratha,-20.74,116.85,65.3,29,0,9.8,AU,1593212460
92,Pochutla,15.74,-96.47,86.0,58,40,17.22,MX,1593212605
93,Clyde River,70.47,-68.59,46.4,87,20,5.82,CA,1593212605
94,Ancud,-41.87,-73.82,46.0,75,90,3.36,CL,1593212605
95,Port Alfred,-33.59,26.89,53.01,76,3,5.99,ZA,1593212605
96,Porto-Novo,6.5,2.6,73.4,94,40,9.17,BJ,1593212605
97,Olafsvik,64.89,-23.71,49.77,87,95,8.75,IS,1593212605
98,Moose Factory,51.26,-80.61,68.0,72,75,11.41,CA,1593212605
99,Linqing,36.85,115.71,82.17,59,25,2.84,CN,1593212606
100,Cloquet,46.72,-92.46,80.6,39,1,10.29,US,1593212332
101,Bethel,41.37,-73.41,82.4,32,1,8.05,US,1593212544
102,Avarua,-21.21,-159.78,75.2,64,65,5.82,CK,1593212388
103,Katherine,-14.47,132.27,64.4,48,0,5.82,AU,1593212606
104,Vuktyl,63.86,57.31,42.51,79,96,1.01,RU,1593212606
105,Saint-Philippe,-21.36,55.77,64.4,82,53,5.82,RE,1593212606
106,Rosario,-32.95,-60.64,53.01,54,100,3.36,AR,1593212569
107,Khorixas,-20.37,14.97,52.21,44,0,6.15,NA,1593212606
108,Kainantu,-6.29,145.87,66.79,74,39,3.38,PG,1593212607
109,General Pico,-35.66,-63.76,47.52,53,95,8.32,AR,1593212607
110,Qaanaaq,77.48,-69.36,36.48,83,14,1.63,GL,1593212607
111,Santa Catarina de Tepehuanes,25.35,-105.73,83.28,24,80,9.91,MX,1593212607
112,Hualmay,-11.1,-77.61,63.19,81,70,8.84,PE,1593212607
